"cc","firm","produce","sales_in","sales_out","year","month"
"50CC","SYM",10380,0,10380,2021,4
"90CC","SYM",0,0,0,2021,4
"100CC","SYM",917,867,0,2021,4
"110CC","SYM",3664,3586,240,2021,4
"125CC","SYM",11250,10019,1753,2021,4
"150CC","SYM",4670,1314,3300,2021,4
"250CC","SYM",159,1,89,2021,4
"50CC","SUZUKI",0,0,96,2021,4
"100CC","SUZUKI",0,0,0,2021,4
"125CC","SUZUKI",1410,1026,384,2021,4
"90CC","SUZUKI",122,0,123,2021,4
"250CC","SUZUKI",0,0,0,2021,4
"50CC","YAMAHA",816,0,1080,2021,4
"100CC","YAMAHA",0,0,0,2021,4
"125CC","YAMAHA",14434,12355,2216,2021,4
"150CC","YAMAHA",2038,1760,350,2021,4
"50CC","KYMCO",3416,0,153,2021,4
"100CC","KYMCO",4762,1877,359,2021,4
"110CC","KYMCO",2360,2516,0,2021,4
"125CC","KYMCO",12855,12874,4753,2021,4
"150CC","KYMCO",5810,2593,2364,2021,4
"250CC","KYMCO",2007,0,2632,2021,4
"90CC","KYMCO",615,0,0,2021,4
"50CC","PGO",441,0,637,2021,4
"100CC","PGO",0,0,0,2021,4
"110CC","PGO",0,0,0,2021,4
"125CC","PGO",1517,1277,102,2021,4
"150CC","PGO",159,63,100,2021,4
"50CC","SYM",4620,0,4620,2021,3
"90CC","SYM",0,0,0,2021,3
"100CC","SYM",1200,1198,0,2021,3
"110CC","SYM",2764,2437,120,2021,3
"125CC","SYM",15202,13408,413,2021,3
"150CC","SYM",7029,1636,5280,2021,3
"250CC","SYM",182,1,351,2021,3
"50CC","SUZUKI",90,0,120,2021,3
"100CC","SUZUKI",0,0,0,2021,3
"125CC","SUZUKI",1850,1301,456,2021,3
"90CC","SUZUKI",120,0,210,2021,3
"250CC","SUZUKI",0,0,0,2021,3
"50CC","YAMAHA",936,0,936,2021,3
"100CC","YAMAHA",0,0,0,2021,3
"125CC","YAMAHA",18225,16240,1983,2021,3
"150CC","YAMAHA",2702,2360,342,2021,3
"50CC","KYMCO",1611,0,4226,2021,3
"100CC","KYMCO",4799,4220,1370,2021,3
"110CC","KYMCO",3250,3395,0,2021,3
"125CC","KYMCO",19522,15165,5406,2021,3
"150CC","KYMCO",6269,3579,2842,2021,3
"250CC","KYMCO",4056,0,3282,2021,3
"90CC","KYMCO",0,0,0,2021,3
"50CC","PGO",638,0,406,2021,3
"100CC","PGO",0,0,0,2021,3
"110CC","PGO",0,0,0,2021,3
"125CC","PGO",1497,1411,108,2021,3
"150CC","PGO",183,77,103,2021,3
"50CC","SYM",960,0,960,2021,2
"90CC","SYM",0,0,0,2021,2
"100CC","SYM",0,5,0,2021,2
"110CC","SYM",4375,4581,0,2021,2
"125CC","SYM",10507,9208,1130,2021,2
"150CC","SYM",3810,753,3060,2021,2
"250CC","SYM",392,2,236,2021,2
"50CC","SUZUKI",120,0,36,2021,2
"100CC","SUZUKI",0,0,0,2021,2
"125CC","SUZUKI",690,717,288,2021,2
"90CC","SUZUKI",120,0,64,2021,2
"250CC","SUZUKI",0,0,0,2021,2
"50CC","YAMAHA",456,0,456,2021,2
"100CC","YAMAHA",0,0,0,2021,2
"125CC","YAMAHA",16080,13801,2279,2021,2
"150CC","YAMAHA",2482,2040,442,2021,2
"50CC","KYMCO",1961,0,1542,2021,2
"100CC","KYMCO",4988,3994,323,2021,2
"110CC","KYMCO",2550,2281,0,2021,2
"125CC","KYMCO",13977,10155,4616,2021,2
"150CC","KYMCO",3832,1783,1535,2021,2
"250CC","KYMCO",1028,0,1100,2021,2
"90CC","KYMCO",0,0,0,2021,2
"50CC","PGO",872,0,1098,2021,2
"100CC","PGO",0,0,0,2021,2
"110CC","PGO",0,0,0,2021,2
"125CC","PGO",1307,1060,163,2021,2
"150CC","PGO",152,60,100,2021,2
"50CC","SYM",1920,0,1920,2021,1
"90CC","SYM",0,0,0,2021,1
"100CC","SYM",400,394,0,2021,1
"110CC","SYM",6625,6358,0,2021,1
"125CC","SYM",20087,19010,630,2021,1
"150CC","SYM",4031,1147,2880,2021,1
"250CC","SYM",192,0,166,2021,1
"50CC","SUZUKI",60,0,0,2021,1
"100CC","SUZUKI",0,0,0,2021,1
"125CC","SUZUKI",1530,1125,240,2021,1
"90CC","SUZUKI",30,0,0,2021,1
"250CC","SUZUKI",0,0,0,2021,1
"50CC","YAMAHA",672,0,672,2021,1
"100CC","YAMAHA",0,0,0,2021,1
"125CC","YAMAHA",19462,17160,2302,2021,1
"50CC","KYMCO",3489,0,2467,2021,1
"100CC","KYMCO",7043,5564,1211,2021,1
"110CC","KYMCO",3200,3144,0,2021,1
"125CC","KYMCO",27073,17218,8132,2021,1
"150CC","KYMCO",5202,3199,1712,2021,1
"250CC","KYMCO",1822,0,1228,2021,1
"90CC","KYMCO",0,0,0,2021,1
"50CC",NA,0,0,0,2021,1
"50CC","PGO",690,0,562,2021,1
"100CC","PGO",0,0,0,2021,1
"110CC","PGO",0,0,0,2021,1
"125CC","PGO",1389,1337,116,2021,1
"150CC","PGO",183,81,100,2021,1
"50CC","SYM",1560,0,1560,2020,12
"90CC","SYM",0,0,0,2020,12
"100CC","SYM",0,0,0,2020,12
"110CC","SYM",9664,9781,0,2020,12
"125CC","SYM",26391,26686,20,2020,12
"150CC","SYM",3173,345,2820,2020,12
"250CC","SYM",58,1,136,2020,12
"50CC","SUZUKI",38,0,117,2020,12
"100CC","SUZUKI",0,0,0,2020,12
"125CC","SUZUKI",1908,1582,336,2020,12
"90CC","SUZUKI",134,0,153,2020,12
"250CC","SUZUKI",0,0,0,2020,12
"50CC","YAMAHA",528,0,528,2020,12
"100CC","YAMAHA",0,0,0,2020,12
"125CC","YAMAHA",20472,19379,1272,2020,12
"150CC","YAMAHA",2837,2673,162,2020,12
"50CC","KYMCO",5273,0,5122,2020,12
"100CC","KYMCO",5929,5449,1077,2020,12
"110CC","KYMCO",4020,4197,0,2020,12
"125CC","KYMCO",33927,27873,8040,2020,12
"150CC","KYMCO",5225,3941,1594,2020,12
"250CC","KYMCO",1334,0,2256,2020,12
"90CC","KYMCO",0,0,0,2020,12
"50CC","PGO",564,0,348,2020,12
"100CC","PGO",0,0,0,2020,12
"110CC","PGO",0,0,0,2020,12
"125CC","PGO",1320,1458,116,2020,12
"150CC","PGO",42,37,0,2020,12
"50CC","SYM",3000,0,3000,2020,11
"90CC","SYM",0,0,0,2020,11
"100CC","SYM",0,92,0,2020,11
"110CC","SYM",8772,8878,0,2020,11
"125CC","SYM",22213,21476,759,2020,11
"150CC","SYM",1672,58,1620,2020,11
"250CC","SYM",309,2,306,2020,11
"50CC","SUZUKI",201,0,509,2020,11
"100CC","SUZUKI",0,0,0,2020,11
"125CC","SUZUKI",1152,1023,0,2020,11
"90CC","SUZUKI",120,0,405,2020,11
"250CC","SUZUKI",0,0,0,2020,11
"50CC","YAMAHA",432,0,432,2020,11
"100CC","YAMAHA",0,0,0,2020,11
"125CC","YAMAHA",20602,19306,1242,2020,11
"150CC","YAMAHA",3088,2919,168,2020,11
"50CC","KYMCO",4177,0,2908,2020,11
"100CC","KYMCO",5279,4433,800,2020,11
"110CC","KYMCO",3000,2984,0,2020,11
"125CC","KYMCO",27788,21264,4196,2020,11
"150CC","KYMCO",5447,3630,1910,2020,11
"250CC","KYMCO",2506,0,1985,2020,11
"90CC","KYMCO",0,0,0,2020,11
"50CC","PGO",26,0,0,2020,11
"100CC","PGO",0,0,0,2020,11
"110CC","PGO",0,0,0,2020,11
"125CC","PGO",1991,1662,14,2020,11
"150CC","PGO",60,64,0,2020,11
"50CC","SYM",3111,0,3111,2020,10
"90CC","SYM",0,0,0,2020,10
"100CC","SYM",1170,368,720,2020,10
"110CC","SYM",7024,5706,1114,2020,10
"125CC","SYM",18099,17339,791,2020,10
"150CC","SYM",2104,745,1560,2020,10
"250CC","SYM",282,3,481,2020,10
"50CC","SUZUKI",0,0,12,2020,10
"100CC","SUZUKI",0,0,0,2020,10
"125CC","SUZUKI",1390,1142,336,2020,10
"90CC","SUZUKI",0,0,44,2020,10
"250CC","SUZUKI",0,0,0,2020,10
"50CC","YAMAHA",1296,0,1296,2020,10
"100CC","YAMAHA",0,0,0,2020,10
"125CC","YAMAHA",17169,15864,1129,2020,10
"150CC","YAMAHA",3674,3438,234,2020,10
"50CC","KYMCO",1329,0,1381,2020,10
"100CC","KYMCO",4016,3123,569,2020,10
"110CC","KYMCO",2400,2429,0,2020,10
"125CC","KYMCO",23013,16787,5090,2020,10
"150CC","KYMCO",4731,2352,2141,2020,10
"250CC","KYMCO",1591,0,984,2020,10
"90CC","KYMCO",0,0,0,2020,10
"50CC","PGO",83,0,83,2020,10
"100CC","PGO",0,0,0,2020,10
"110CC","PGO",0,2,0,2020,10
"125CC","PGO",1577,1536,30,2020,10
"150CC","PGO",50,62,50,2020,10
"50CC","SYM",6840,0,6840,2020,9
"90CC","SYM",0,0,0,2020,9
"100CC","SYM",1420,693,720,2020,9
"110CC","SYM",5023,4118,898,2020,9
"125CC","SYM",18309,17088,1265,2020,9
"150CC","SYM",1621,625,840,2020,9
"250CC","SYM",436,3,200,2020,9
"50CC","SUZUKI",240,0,279,2020,9
"100CC","SUZUKI",0,0,0,2020,9
"125CC","SUZUKI",1542,1349,192,2020,9
"90CC","SUZUKI",60,0,221,2020,9
"250CC","SUZUKI",0,0,0,2020,9
"50CC","YAMAHA",1140,0,1152,2020,9
"100CC","YAMAHA",0,0,0,2020,9
"125CC","YAMAHA",17908,16649,1321,2020,9
"150CC","YAMAHA",4741,4478,278,2020,9
"50CC","KYMCO",2704,0,6858,2020,9
"100CC","KYMCO",5007,3988,1045,2020,9
"110CC","KYMCO",3000,3067,1,2020,9
"125CC","KYMCO",22827,19488,3542,2020,9
"150CC","KYMCO",5673,3376,2821,2020,9
"250CC","KYMCO",428,0,993,2020,9
"90CC","KYMCO",0,0,0,2020,9
"50CC","PGO",438,0,537,2020,9
"100CC","PGO",0,0,0,2020,9
"110CC","PGO",0,2,0,2020,9
"125CC","PGO",1722,1526,178,2020,9
"150CC","PGO",191,76,55,2020,9
"50CC","SYM",3000,0,3000,2020,8
"90CC","SYM",0,0,0,2020,8
"100CC","SYM",1980,898,1080,2020,8
"110CC","SYM",7261,4392,2946,2020,8
"125CC","SYM",18070,16987,872,2020,8
"150CC","SYM",977,906,17,2020,8
"250CC","SYM",187,1,256,2020,8
"50CC","SUZUKI",0,0,162,2020,8
"100CC","SUZUKI",0,0,0,2020,8
"125CC","SUZUKI",1291,1171,192,2020,8
"90CC","SUZUKI",30,0,126,2020,8
"250CC","SUZUKI",0,0,0,2020,8
"50CC","YAMAHA",876,0,1040,2020,8
"100CC","YAMAHA",0,0,0,2020,8
"125CC","YAMAHA",15518,12914,2559,2020,8
"150CC","YAMAHA",3529,2758,752,2020,8
"50CC","KYMCO",6669,0,2279,2020,8
"100CC","KYMCO",3932,4056,772,2020,8
"110CC","KYMCO",2900,2854,0,2020,8
"125CC","KYMCO",19594,16791,2374,2020,8
"150CC","KYMCO",5861,3467,2215,2020,8
"250CC","KYMCO",3763,0,1948,2020,8
"90CC","KYMCO",746,0,0,2020,8
"50CC","PGO",494,0,397,2020,8
"100CC","PGO",0,0,0,2020,8
"110CC","PGO",0,0,0,2020,8
"125CC","PGO",1308,1269,86,2020,8
"150CC","PGO",65,56,0,2020,8
"50CC","SYM",720,0,720,2020,7
"90CC","SYM",0,0,0,2020,7
"100CC","SYM",550,551,0,2020,7
"110CC","SYM",6880,6854,0,2020,7
"125CC","SYM",15636,14766,1113,2020,7
"150CC","SYM",358,360,0,2020,7
"250CC","SYM",479,3,444,2020,7
"50CC","SUZUKI",240,0,72,2020,7
"100CC","SUZUKI",0,0,0,2020,7
"125CC","SUZUKI",1385,1052,0,2020,7
"90CC","SUZUKI",150,0,20,2020,7
"250CC","SUZUKI",0,0,0,2020,7
"50CC","YAMAHA",720,0,544,2020,7
"100CC","YAMAHA",0,0,0,2020,7
"125CC","YAMAHA",12031,10145,1804,2020,7
"150CC","YAMAHA",3282,3073,202,2020,7
"50CC","KYMCO",223,0,712,2020,7
"100CC","KYMCO",5433,4633,707,2020,7
"110CC","KYMCO",1999,2034,0,2020,7
"125CC","KYMCO",20424,19148,916,2020,7
"150CC","KYMCO",6223,2505,3686,2020,7
"250CC","KYMCO",1871,0,1871,2020,7
"90CC","KYMCO",0,0,0,2020,7
"50CC","PGO",227,0,225,2020,7
"100CC","PGO",0,0,0,2020,7
"110CC","PGO",1,12,0,2020,7
"125CC","PGO",1634,1491,139,2020,7
"150CC","PGO",106,66,44,2020,7
"50CC","SYM",0,0,0,2020,6
"90CC","SYM",0,0,0,2020,6
"100CC","SYM",325,342,0,2020,6
"110CC","SYM",6549,6692,0,2020,6
"125CC","SYM",11212,10947,728,2020,6
"150CC","SYM",627,695,6,2020,6
"250CC","SYM",303,2,223,2020,6
"50CC","SUZUKI",300,0,162,2020,6
"100CC","SUZUKI",0,0,0,2020,6
"125CC","SUZUKI",1020,1078,24,2020,6
"90CC","SUZUKI",240,0,54,2020,6
"250CC","SUZUKI",0,0,0,2020,6
"50CC","YAMAHA",48,0,48,2020,6
"100CC","YAMAHA",0,0,0,2020,6
"125CC","YAMAHA",11018,10454,564,2020,6
"150CC","YAMAHA",1952,1880,72,2020,6
"50CC","KYMCO",1674,0,1198,2020,6
"100CC","KYMCO",3825,3395,440,2020,6
"110CC","KYMCO",2800,2752,0,2020,6
"125CC","KYMCO",15982,15679,455,2020,6
"150CC","KYMCO",5229,2352,2940,2020,6
"250CC","KYMCO",2931,0,3518,2020,6
"90CC","KYMCO",0,0,0,2020,6
"50CC","PGO",49,0,49,2020,6
"100CC","PGO",0,0,0,2020,6
"110CC","PGO",0,23,0,2020,6
"125CC","PGO",1487,1518,3,2020,6
"150CC","PGO",98,103,0,2020,6
"50CC","SYM",0,0,0,2020,5
"90CC","SYM",0,0,0,2020,5
"100CC","SYM",375,357,0,2020,5
"110CC","SYM",4897,4928,110,2020,5
"125CC","SYM",14334,13488,779,2020,5
"150CC","SYM",445,386,0,2020,5
"250CC","SYM",10,4,135,2020,5
"50CC","SUZUKI",60,0,0,2020,5
"100CC","SUZUKI",0,0,0,2020,5
"125CC","SUZUKI",1200,1205,0,2020,5
"90CC","SUZUKI",240,0,0,2020,5
"250CC","SUZUKI",0,0,0,2020,5
"50CC","YAMAHA",192,0,416,2020,5
"100CC","YAMAHA",0,0,0,2020,5
"125CC","YAMAHA",5385,4961,584,2020,5
"150CC","YAMAHA",1348,1160,234,2020,5
"50CC","KYMCO",1519,0,1555,2020,5
"100CC","KYMCO",4431,4002,235,2020,5
"110CC","KYMCO",2123,2081,0,2020,5
"125CC","KYMCO",17005,15972,1122,2020,5
"150CC","KYMCO",3760,1734,1826,2020,5
"250CC","KYMCO",3303,0,3016,2020,5
"90CC","KYMCO",0,0,0,2020,5
"50CC","PGO",290,0,290,2020,5
"100CC","PGO",0,0,0,2020,5
"110CC","PGO",0,30,18,2020,5
"125CC","PGO",1449,1385,67,2020,5
"150CC","PGO",193,89,100,2020,5
"50CC","SYM",14040,0,14040,2020,4
"90CC","SYM",0,0,0,2020,4
"100CC","SYM",1120,417,720,2020,4
"110CC","SYM",5257,4107,968,2020,4
"125CC","SYM",14638,12666,1481,2020,4
"150CC","SYM",372,355,0,2020,4
"250CC","SYM",30,0,75,2020,4
"50CC","SUZUKI",240,0,60,2020,4
"100CC","SUZUKI",0,0,0,2020,4
"125CC","SUZUKI",1101,903,288,2020,4
"90CC","SUZUKI",180,0,60,2020,4
"250CC","SUZUKI",0,0,0,2020,4
"50CC","YAMAHA",672,0,544,2020,4
"100CC","YAMAHA",0,0,0,2020,4
"125CC","YAMAHA",10735,9525,1086,2020,4
"150CC","YAMAHA",1554,1190,354,2020,4
"50CC","KYMCO",2409,0,2846,2020,4
"100CC","KYMCO",3565,3577,4,2020,4
"110CC","KYMCO",1750,1904,0,2020,4
"125CC","KYMCO",25103,16808,9129,2020,4
"150CC","KYMCO",4444,3025,1472,2020,4
"250CC","KYMCO",2603,0,2159,2020,4
"90CC","KYMCO",14,0,0,2020,4
"50CC","PGO",235,0,235,2020,4
"100CC","PGO",0,0,0,2020,4
"110CC","PGO",0,189,16,2020,4
"125CC","PGO",1484,1429,112,2020,4
"150CC","PGO",106,110,0,2020,4
"50CC","SYM",4560,0,4560,2020,3
"90CC","SYM",0,0,0,2020,3
"100CC","SYM",1980,882,1080,2020,3
"110CC","SYM",4219,3394,720,2020,3
"125CC","SYM",13863,13345,804,2020,3
"150CC","SYM",463,499,0,2020,3
"250CC","SYM",262,0,71,2020,3
"50CC","SUZUKI",60,0,0,2020,3
"100CC","SUZUKI",0,0,0,2020,3
"125CC","SUZUKI",1179,1341,0,2020,3
"90CC","SUZUKI",60,0,0,2020,3
"250CC","SUZUKI",0,0,0,2020,3
"50CC","YAMAHA",816,0,864,2020,3
"100CC","YAMAHA",0,0,0,2020,3
"125CC","YAMAHA",10215,8920,1499,2020,3
"150CC","YAMAHA",1888,1444,516,2020,3
"50CC","KYMCO",1500,0,3300,2020,3
"100CC","KYMCO",5014,4923,6,2020,3
"110CC","KYMCO",1800,1506,0,2020,3
"125CC","KYMCO",24051,18271,7021,2020,3
"150CC","KYMCO",6002,3879,3089,2020,3
"250CC","KYMCO",1465,0,1928,2020,3
"90CC","KYMCO",0,0,0,2020,3
"50CC","PGO",407,0,407,2020,3
"100CC","PGO",0,0,0,2020,3
"110CC","PGO",359,236,12,2020,3
"125CC","PGO",959,935,111,2020,3
"150CC","PGO",217,108,106,2020,3
"50CC","SYM",2940,0,2940,2020,2
"90CC","SYM",0,0,0,2020,2
"100CC","SYM",1820,1109,720,2020,2
"110CC","SYM",3594,2815,744,2020,2
"125CC","SYM",10621,9352,1235,2020,2
"150CC","SYM",487,467,0,2020,2
"250CC","SYM",62,0,60,2020,2
"50CC","SUZUKI",0,0,36,2020,2
"100CC","SUZUKI",0,0,0,2020,2
"125CC","SUZUKI",926,397,720,2020,2
"90CC","SUZUKI",0,0,33,2020,2
"250CC","SUZUKI",0,0,0,2020,2
"50CC","YAMAHA",672,0,672,2020,2
"100CC","YAMAHA",0,0,0,2020,2
"125CC","YAMAHA",7759,5719,2237,2020,2
"150CC","YAMAHA",1416,761,655,2020,2
"50CC","KYMCO",3624,0,3519,2020,2
"100CC","KYMCO",3927,3763,0,2020,2
"110CC","KYMCO",1252,1242,2,2020,2
"125CC","KYMCO",22582,16139,8057,2020,2
"150CC","KYMCO",5385,3166,1728,2020,2
"250CC","KYMCO",1733,0,1646,2020,2
"90CC","KYMCO",0,2,0,2020,2
"50CC","PGO",348,0,348,2020,2
"100CC","PGO",0,0,0,2020,2
"110CC","PGO",214,254,0,2020,2
"125CC","PGO",1212,1216,55,2020,2
"150CC","PGO",220,117,100,2020,2
"50CC","SYM",3420,0,3420,2020,1
"90CC","SYM",0,0,0,2020,1
"100CC","SYM",2440,991,1440,2020,1
"110CC","SYM",4771,2612,2212,2020,1
"125CC","SYM",10791,7920,2468,2020,1
"150CC","SYM",372,367,0,2020,1
"250CC","SYM",167,0,337,2020,1
"50CC","SUZUKI",0,0,0,2020,1
"100CC","SUZUKI",0,0,0,2020,1
"125CC","SUZUKI",625,242,480,2020,1
